county,munic_type,municipality,system,vendor,equipment,equipment_acc
ADAMS,CITY,ADAMS,Optical Scan,ES&S,Eagle,ES&S AutoMARK
ADAMS,TOWN,ADAMS,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,BIG FLATS,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,COLBURN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,DELL PRAIRIE,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,EASTON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,JACKSON,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,LEOLA,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,LINCOLN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,MONROE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,NEW CHESTER,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,NEW HAVEN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,TOWN,PRESTON,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,QUINCY,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,RICHFIELD,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,ROME,Optical Scan,ES&S,Eagle,ES&S AutoMARK
ADAMS,TOWN,SPRINGVILLE,Paper Ballot,,,Vote-Pad
ADAMS,TOWN,STRONGS PRAIRIE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
ADAMS,VILLAGE,FRIENDSHIP,Paper Ballot,,,Vote-Pad
ASHLAND,CITY,MELLEN,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,AGENDA,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,ASHLAND,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,CHIPPEWA,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,GINGLES,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,GORDON,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,JACOBS,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,LA POINTE,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,MARENGO,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,MORSE,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,PEEKSVILLE,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,SANBORN,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,SHANAGOLDEN,Paper Ballot,,,ES&S AutoMARK
ASHLAND,TOWN,WHITE RIVER,Paper Ballot,,,ES&S AutoMARK
ASHLAND,VILLAGE,BUTTERNUT,Paper Ballot,,,ES&S AutoMARK
ASHLAND/BAYFIELD,CITY,ASHLAND,Optical Scan,ES&S,M100,ES&S AutoMARK
BARRON,CITY,BARRON,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,CITY,CHETEK,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,CITY,CUMBERLAND,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,CITY,RICE LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,ALMENA,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,ARLAND,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,BARRON,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,BEAR LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,CEDAR LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,CHETEK,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,CLINTON,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,CRYSTAL LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,CUMBERLAND,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,DALLAS,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,DOVRE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,DOYLE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,LAKELAND,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,MAPLE GROVE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,MAPLE PLAIN,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,OAK GROVE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,PRAIRIE FARM,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,PRAIRIE LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,RICE LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,SIOUX CREEK,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,STANFOLD,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,STANLEY,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,SUMNER,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,TURTLE LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,TOWN,VANCE CREEK,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,VILLAGE,ALMENA,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,VILLAGE,CAMERON,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,VILLAGE,DALLAS,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,VILLAGE,HAUGEN,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON,VILLAGE,PRAIRIE FARM,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BARRON/POLK,VILLAGE,TURTLE LAKE,Optical Scan,Sequoia,Optech Insight,SEQ-AVC Edge II 5.0.24
BAYFIELD,CITY,BAYFIELD,Optical Scan,ES&S,M100,ES&S AutoMARK
BAYFIELD,CITY,WASHBURN,Optical Scan,ES&S,M100,ES&S AutoMARK
BAYFIELD,TOWN,BARKSDALE,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,BARNES,Optical Scan,ES&S,M100,ES&S AutoMARK
BAYFIELD,TOWN,BAYFIELD,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,BAYVIEW,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,BELL,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,CABLE,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,CLOVER,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,DELTA,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,DRUMMOND,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,EILEEN,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,GRAND VIEW,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,HUGHES,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,IRON RIVER,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,KELLY,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,KEYSTONE,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,LINCOLN,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,MASON,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,NAMAKAGON,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,ORIENTA,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,OULU,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,PILSEN,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,PORT WING,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,RUSSELL,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,TRIPP,Paper Ballot,,,ES&S AutoMARK
BAYFIELD,TOWN,WASHBURN,Paper Ballot,,,ES&S AutoMARK
